City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Rikitea,PF,74.37,scattered clouds,-23.1203,-134.9692,People ThankYou
5,Carnarvon,AU,74.1,clear sky,-24.8667,113.6333,Hospitality Carnarvon
6,Kalmunai,LK,76.62,overcast clouds,7.4167,81.8167,VS Villa
9,Biak,ID,83.95,overcast clouds,-0.9131,122.8766,Penginapan Kim
16,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Saint-Philippe,RE,69.39,clear sky,-21.3585,55.7679,Le four à pain
20,Kavaratti,IN,79.77,moderate rain,10.5669,72.642,Green leaf
24,Maceio,BR,74.64,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
26,Gat,IL,69.78,clear sky,31.61,34.7642,OlusHome
29,Sao Joao Da Barra,BR,73.98,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
31,Auki,SB,81.84,overcast clouds,-8.7676,160.7034,Auki Motel
39,Butaritari,KI,80.51,broken clouds,3.0707,172.7902,Isles Sunset Lodge
40,Nabire,ID,85.32,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
41,Ponta Do Sol,PT,68.63,overcast clouds,32.6667,-17.1,Hotel do Campo
45,Vaini,TO,77.05,light rain,-21.2,-175.2,Keleti Beach Resort
52,Lorengau,PG,83.62,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
55,East London,ZA,66.49,overcast clouds,-33.0153,27.9116,Tu Casa
58,Port Moresby,PG,87.22,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
60,Hilo,US,80.11,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
61,Zhuhai,CN,78.85,mist,22.2769,113.5678,珠海粤财假日酒店
62,Avarua,CK,77.05,few clouds,-21.2078,-159.775,Paradise Inn
65,Innisfail,AU,83.61,few clouds,-17.5333,146.0333,Moondarra Motel
68,The Valley,AI,81.82,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
70,Geraldton,AU,73.81,clear sky,-28.7667,114.6,Broadwater Mariner Resort
72,Port Blair,IN,81.84,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
77,Porto Novo,BJ,77.07,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
80,Binga,ZW,72.63,overcast clouds,-17.6203,27.3414,Lakeview Inn Binga
81,Port-Gentil,GA,76.3,light rain,-0.7193,8.7815,Fengshui Residence
87,Sao Filipe,CV,76.41,few clouds,14.8961,-24.4956,Hotel Xaguate
92,Puerto Ayora,EC,69.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
95,Karaton,ID,79.09,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
98,Mar Del Plata,AR,66.09,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
100,Port Augusta,AU,75.13,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
102,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
105,Victoria,HK,80.94,clear sky,22.2855,114.1577,Mini Central
110,Mahebourg,MU,69.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
116,Kandrian,PG,84.49,light rain,-6.2167,149.55,Kandrian Station
119,Caravelas,BR,75.69,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
123,Bengkulu,ID,76.33,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
126,San Cristobal,VE,69.98,overcast clouds,7.7669,-72.225,Pirineos
127,Am Timan,TD,72.95,clear sky,11.0297,20.2827,Palais du chef Canton Salamt
128,Acari,PE,68.97,few clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
129,Atuona,PF,77.68,light rain,-9.8,-139.0333,Villa Enata
130,Banjar,ID,87.53,overcast clouds,-8.19,114.9675,The Hamsa Resort
131,Hithadhoo,MV,81.7,overcast clouds,-0.6,73.0833,Scoop Guest House
139,Sao Desiderio,BR,69.93,broken clouds,-12.3633,-44.9733,POUSADA BOM SOSSEGO
140,Marawi,PH,80.28,overcast clouds,7.9986,124.2928,Derogongan Residence
142,Dhidhdhoo,MV,81.01,scattered clouds,6.8833,73.1,Dhidhoo beach
143,Rio Grande,BR,66.88,overcast clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
144,South Daytona,US,71.08,broken clouds,29.1658,-81.0045,"Holiday Inn Express & Suites Oceanfront Daytona Beach Shores, an IHG Hotel"
149,Katsuura,JP,71.62,few clouds,35.1333,140.3,Katsuura Hotel Mikazuki
150,Ohafia,NG,71.74,overcast clouds,5.6167,7.8333,Hill Flower Hotel
151,Cozumel,MX,80.08,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
155,Alice Springs,AU,88.21,clear sky,-23.7,133.8833,Desert Palms Alice Springs
159,Cururupu,BR,75.63,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
161,Xiaoweizhai,CN,67.26,overcast clouds,26.1903,107.5125,Karst Youth Hostel
163,Chichimila,MX,75.65,overcast clouds,20.6167,-88.2167,Casa Kiin
164,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
165,Vao,NC,72.88,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
167,Alofi,NU,82.29,few clouds,-19.0595,-169.9187,Taloa Heights
169,Grand Gaube,MU,70.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
172,Luwuk,ID,87.21,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
173,Dong Hoi,VN,77.36,broken clouds,17.4833,106.6,Nam Long Hotel
175,Bambous Virieux,MU,70.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
179,Le Moule,GP,77.18,clear sky,16.3332,-61.3473,Lakaz Hananou
181,Qui Nhon,VN,78.82,overcast clouds,13.7667,109.2333,Seagull Hotel
185,Mackay,AU,88.68,few clouds,-21.15,149.2,International Lodge Motel
186,Salalah,OM,75.25,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
187,Georgetown,MY,83.89,few clouds,5.4112,100.3354,Cititel Penang
191,Phangnga,TH,80.64,overcast clouds,8.4509,98.5298,Sunimit Mansion
193,Nacala,MZ,73.2,scattered clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
194,Carolina,PR,79.97,few clouds,18.3808,-65.9574,Motel Fantasy Star
195,Hue,VN,77.11,broken clouds,16.4667,107.6,Saigon Morin Hotel
196,Nouadhibou,MR,67.98,mist,20.931,-17.0347,El Medina
198,Takaka,NZ,69.89,scattered clouds,-40.85,172.8,Golden Bay Motels
199,Prabumulih,ID,78.42,overcast clouds,-3.45,104.25,OYO 2722 Lemon Residence Prabumulih
202,Hispania,CO,67.66,light rain,5.7993,-75.9072,Eco Hotel Rancho Verde
203,Vieux-Habitants,GP,76.71,few clouds,16.0589,-61.7659,Chambres d'Hôtes Les Jardins de Cousinière
206,Itapuranga,BR,68.43,scattered clouds,-15.5622,-49.9486,Terraço Hotel
209,Goroka,PG,74.39,overcast clouds,-6.0834,145.3873,Bird of Paradise Hotel & Apartments
